,P.Mut.KRAS,P.Mut.TP53,P.chr18.del.single.1,P.chrX.del.single.1,P.Mut.SMAD4,P.chr20.amp.single.1,P.chr17.del.single.1,P.chr1.del.single.1,P.chr7.amp.single.1,P.chr8.amp.single.3,P.chr22.del.single.1,P.chr14.amp.single.1,P.chr3.del.single.1,P.Mut.CDKN2A,P.Mut.ARID1A,P.Mut.RNF43,P.Mut.MEN1,P.Mut.TGFBR2,P.Mut.KDM6A,P.Mut.KMT2D,Seeding
P.Mut.KRAS,-0.7460508227295857,0.6310723245687762,-0.20591534465226263,-0.2601182630884387,0.29558611249910033,-0.634894707276866,-0.12207977812938547,-0.42449842526337356,-0.47465756932515424,0.13399956909559824,-0.449148019215379,-0.5495021929726633,-0.35277654760474797,0.08468096775148388,-0.15981746313573617,-0.18581979659786207,-0.6943805319695887,0.10389551812188622,-0.12703856539426267,-0.09223269199721591,-0.6276743199787129
P.Mut.TP53,0.5234788488310148,-1.5558515074649988,-0.2966816435063656,-0.2541293881730699,-0.2262182018277563,-0.35527722447751786,0.08383377123530306,-0.5225717085437003,-0.35171562439553644,-0.1131451208218095,-0.20473960638685915,-0.30258671053106123,-0.23459503891489664,0.1935444238374085,-0.27125768344164797,-0.22703682440062847,-0.4163949115316972,-0.055875090291580075,0.11964140896183877,-0.1230890887258418,-0.4794192665756211
P.chr18.del.single.1,-0.3371985833856091,-0.30924437659585263,-2.381159295942473,0.4416511412074794,-0.09661906043319361,-0.21383491646645625,0.41078311482843366,0.3589410277463594,-0.17170345135010578,-0.05113390741604646,0.20497712396029805,-0.24696126533025034,-0.08919686995057792,-0.123074971803471,-0.13204845543649296,-0.13082945957946096,-0.28897440872980384,-0.14335645167993938,0.13626977645763028,-0.049371185698963975,-0.4953630765642954
P.chrX.del.single.1,-0.3942365471850408,-0.3204531192697216,0.37215913928629574,-3.0294738698912593,-0.17665892663749155,-0.10708344346759216,-0.05667711311065406,-0.11409083337518078,-0.11283662494875996,-0.08351296901661577,0.2971888690454476,-0.13683751313339582,-0.13264364438436957,-0.14774085530682102,-0.09149250697507197,-0.13291000094798006,0.11435562369550657,-0.11268583515936195,0.12904677178819568,-0.08160990000387659,-0.3187559431324521
P.Mut.SMAD4,0.17612243670910183,-0.20003703593496952,0.10503486878504062,-0.19642253172647214,-3.226422526687368,-0.21639684135971676,0.08327061253423607,0.053301616195664585,-0.2295448472433537,-0.14043123506454014,-0.15243724182009005,-0.22080723753976295,-0.22034104679252386,0.1510308162425112,0.15979093138596895,-0.1048337391985658,-0.19345954148961553,-0.10734930581590767,0.07803478776873758,0.09922996303346844,-0.4723825932253537
P.chr20.amp.single.1,-0.322481147493035,-0.24213338140456592,0.018266459477493807,0.1270711566364371,-0.1786425602274385,-3.245589654038773,-0.2323209473399203,0.07874291277096188,0.4092212064368815,0.09880262228424283,0.07617237155368084,0.43734383227083645,0.07599658870319977,-0.1482102239098782,-0.14556882042022778,-0.1399796119317974,0.30006785132475616,-0.11877260002655632,-0.11001135837112909,-0.1278847231192385,-0.2831343639492385
P.chr17.del.single.1,0.11962223311554983,0.1441547595784772,0.4955677897052517,0.21400150889366257,0.14962304791569295,-0.007457937360266904,-3.952014611915669,0.26298538851585246,0.03952221508422485,0.16749050568095208,0.2390270173964879,-0.05455184326588863,0.27245681616408435,0.0823799579254406,-0.1466418558985596,-0.13728788039862688,0.10191075964489398,0.1016554182237497,0.1392326562863217,0.11699434832719388,-0.12760481079301933
P.chr1.del.single.1,-0.20246716588269745,-0.44764281876729933,0.37642950056145463,0.09753125111370375,0.07867306643978825,0.13401497154883907,0.18608660379449876,-3.529964885468831,0.06921905954477146,0.03705581032262545,0.22829036835711175,-0.22111805817857802,0.2413372852845819,0.06390151919294793,0.06197660668380375,0.10725733538529802,0.1864532866826057,0.09947249826451471,0.0948387466317013,0.127880782917577,-0.13633206307042833
P.chr7.amp.single.1,-0.1879986624876243,-0.15251483900240842,0.048064573256452955,0.1418094707682397,0.022421087567369817,0.42357930478358086,0.03018798137581911,0.07285720184277339,-3.869452272179493,0.09211770798736096,0.05900018643903819,0.4392035507716296,-0.21316262766394,-0.21311751580972485,0.06448260587484396,-0.14249565822214144,0.22057028776224347,-0.10822872316959853,0.079499477690924,0.1489126015086114,0.1522162127082987
P.chr8.amp.single.3,0.1367987589715941,0.04622380680993037,0.1643590904167267,0.13833713058290614,0.05255097764283304,0.08287309757861924,0.10889740198259848,0.06319095633967434,0.0587933163403125,-4.006528105910886,0.03567310020427269,0.04953871890096423,0.03036924144048521,0.0818682467419092,0.10937958722482856,0.05865068242384021,-0.15762020582375363,-0.11487161257309339,-0.09832022453300654,0.11913623394551595,0.0009456381366267225
P.chr22.del.single.1,-0.17653721093216085,0.013841551770327348,0.2987366875981023,0.3283748940504537,0.08231451517121123,0.1073067847119221,0.20188267201789478,0.2523311040328221,0.046808061573180244,0.045098971912203085,-3.8601035471879777,0.0696343808736429,0.2515034384094155,0.11800387391279844,-0.14549578544031003,0.092552953580072,0.2407730308474572,-0.11976185564857851,0.09501029479363465,0.07981411959840018,-0.11860007743904333
P.chr14.amp.single.1,-0.20881697386981846,-0.017898924240716423,0.023495444647443135,0.08961845813140887,-0.18123846151690565,0.4498427341040943,-0.2434738626977847,-0.23137290196392157,0.38685614058563966,0.056335124544986126,0.08081938884492748,-3.6619373419168313,-0.19380924664014795,0.09071994903739582,0.0654619204012339,0.09158891602101672,0.29002446513702396,0.09642468257651057,-0.11546853945890707,-0.14334589960586996,-0.06270688143438198
